id,name,accuracy,power_points,priority,power,description,type_id
1,pound,100,35,0,40,Pounds with fore­legs or tail,1
2,karate-chop,100,25,0,50,Has a high criti­cal hit ratio,2
3,double-slap,85,10,0,15,Repeatedly slaps2-5 times,1
4,comet-punch,85,15,0,18,Repeatedly punches2-5 times,1
5,mega-punch,85,20,0,80,A powerful punchthrown very hard,1
6,pay-day,100,20,0,40,Throws coins Getsthem back later,1
7,fire-punch,100,15,0,75,A fiery punch Maycause a burn,10
8,ice-punch,100,15,0,75,An icy punch Maycause freezing,15
9,thunder-punch,100,15,0,75,An electric punchIt may paralyze,13
10,scratch,100,35,0,40,Scratches withsharp claws,1
11,vice-grip,100,30,0,55,Grips with power­ful pincers,1
12,guillotine,30,5,0,,"A one-hit KO,pincer attack",1
13,razor-wind,100,10,0,80,1st turn: Prepare2nd turn: Attack,1
14,swords-dance,,20,0,,A dance that in­creases ATTACK,1
15,cut,95,30,0,50,"Cuts using claws,scythes, etc",1
16,gust,100,35,0,40,Whips up a stronggust of wind,3
17,wing-attack,100,35,0,60,Strikes the targetwith wings,3
18,whirlwind,,20,-6,,Blows away the foe& ends battle,1
19,fly,95,15,0,90,1st turn: Fly2nd turn: Attack,3
20,bind,85,20,0,15,Binds the targetfor 2-5 turns,1
21,slam,75,20,0,80,"Slams the foe witha tail, vine, etc",1
22,vine-whip,100,25,0,45,Whips the foe withslender vines,12
23,stomp,100,20,0,65,An attack that maycause flinching,1
24,double-kick,100,30,0,30,A double kickingattack,2
25,mega-kick,75,5,0,120,A powerful kickingattack,1
26,jump-kick,95,10,0,100,A strong jumping kick Maymiss and hurt the kicker,2
27,rolling-kick,85,15,0,60,"A fast, spinningkick",2
28,sand-attack,100,15,0,,Reduces accuracyby throwing sand,5
29,headbutt,100,15,0,70,An attack that maymake foe flinch,1
30,horn-attack,100,25,0,65,An attack using ahorn to jab,1
31,fury-attack,85,20,0,15,Jabs the target2-5 times,1
32,horn-drill,30,5,0,,"A one-hit KO,drill attack",1
33,tackle,100,35,0,40,A full-body chargeattack,1
34,body-slam,100,15,0,85,An attack that maycause paralysis,1
35,wrap,90,20,0,15,Squeezes the foefor 2-5 turns,1
36,take-down,85,20,0,90,A tackle that alsohurts the user,1
37,thrash,100,10,0,120,Works 2-3 turnsand confuses user,1
38,double-edge,100,15,0,120,A tackle that alsohurts the user,1
39,tail-whip,100,30,0,,Lowers the foe'sDEFENSE,1
40,poison-sting,100,35,0,15,An attack that maypoison the target,4
41,twineedle,100,20,0,25,Jabs the foe twiceusing stingers,7
42,pin-missile,95,20,0,25,Fires pins thatstrike 2-5 times,7
43,leer,100,30,0,,Reduces the foe'sDEFENSE,1
44,bite,100,25,0,60,An attack that maycause flinching,17
45,growl,100,40,0,,Reduces the foe'sATTACK,1
46,roar,,20,-6,,Scares wild foesto end battle,1
47,sing,55,15,0,,May cause the foeto fall asleep,1
48,supersonic,55,20,0,,Sound waves thatcause confusion,1
49,sonic-boom,90,20,0,,Always inflicts20HP damage,1
50,disable,100,20,0,,"For four turns, this move prevents the target fromusing the move it last used",1
51,acid,100,30,0,40,An attack that maylower DEFENSE,4
52,ember,100,25,0,40,An attack that mayinflict a burn,10
53,flamethrower,100,15,0,90,An attack that mayinflict a burn,10
54,mist,,30,0,,Prevents statreduction,15
55,water-gun,100,25,0,40,Squirts water toattack,11
56,hydro-pump,80,5,0,110,The target is blasted by a huge volumeof water launched under great pressure,11
57,surf,100,15,0,90,A strong water-type attack,11
58,ice-beam,100,10,0,90,An attack that mayfreeze the foe,15
59,blizzard,70,5,0,110,An attack that mayfreeze the foe,15
60,psybeam,100,20,0,65,The target is attacked with a peculiar ray This mayalso leave the target confused,14
61,bubble-beam,100,20,0,65,An attack that maylower SPEED,11
62,aurora-beam,100,20,0,65,An attack that maylower ATTACK,15
63,hyper-beam,90,5,0,150,1st turn: Attack2nd turn: Rest,1
64,peck,100,35,0,35,"Jabs the foe witha beak, etc",3
65,drill-peck,100,20,0,80,"A strong, spin­ning-peck attack",3
66,submission,80,20,0,80,An attack that al­so hurts the user,2
67,low-kick,100,20,0,,An attack that maycause flinching,2
68,counter,100,20,-5,,Returns a physicalblow double,2
69,seismic-toss,100,20,0,,Inflicts damage identicalto the user’s level,2
70,strength,100,15,0,80,A powerful physi­cal attack,1
71,absorb,100,25,0,20,Steals 1/2 of thedamage inflicted,12
72,mega-drain,100,15,0,40,Steals 1/2 of thedamage inflicted,12
73,leech-seed,90,10,0,,Steals HP from thefoe on every turn,12
74,growth,,20,0,,Raises the SPCLATK rating,1
75,razor-leaf,95,25,0,55,Has a high criti­cal hit ratio,12
76,solar-beam,100,10,0,120,1st turn: Prepare2nd turn: Attack,12
77,poison-powder,75,35,0,,A move that maypoison the foe,4
78,stun-spore,75,30,0,,A move that mayparalyze the foe,12
79,sleep-powder,75,15,0,,May cause the foeto fall asleep,12
80,petal-dance,100,10,0,120,Works 2-3 turnsand confuses user,12
81,string-shot,95,40,0,,A move that lowersthe foe's SPEED,7
82,dragon-rage,100,10,0,,Always inflicts40HP damage,16
83,fire-spin,85,15,0,35,Traps foe in firefor 2-5 turns,10
84,thunder-shock,100,30,0,40,An attack that maycause paralysis,13
85,thunderbolt,100,15,0,90,An attack that maycause paralysis,13
86,thunder-wave,90,20,0,,A move that maycause paralysis,13
87,thunder,70,10,0,110,An attack that maycause paralysis,13
88,rock-throw,90,15,0,50,Drops rocks on theenemy,6
89,earthquake,100,10,0,100,Tough but uselessvs flying foes,5
90,fissure,30,5,0,,"A ground-type,one-hit KO attack",5
91,dig,100,10,0,80,1st turn: Burrow2nd turn: Attack,5
92,toxic,90,10,0,,Poisons the foe with anintensifying toxin,4
93,confusion,100,25,0,50,An attack that maycause confusion,14
